지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),clouds
115,울릉도,2022-02-06,-2,1.4,2.8,68.5,994.5,snow
115,울릉도,2022-02-07,-0.4,0.8,1.8,65.9,997.2,snow
115,울릉도,2022-02-08,2.2,,1.9,59.1,997.5,clouds
115,울릉도,2022-02-09,4.4,1.1,1.9,71.8,997.1,rain
115,울릉도,2022-02-10,4.6,3.4,1.8,84.6,993.4,rain
115,울릉도,2022-02-11,4.8,0.1,1.5,66.1,996.5,rain
115,울릉도,2022-02-12,4.7,,3.8,70.6,997.4,clouds
115,울릉도,2022-02-13,4.8,0.9,2.5,75.1,995.4,rain
115,울릉도,2022-02-14,4.9,13.9,3,86.3,990.8,rain
115,울릉도,2022-02-15,1.4,0.1,3.7,56.4,986.3,snow
115,울릉도,2022-02-16,-3.3,1.3,3.3,62.4,987.7,snow
115,울릉도,2022-02-17,-2.9,6.2,4.5,78.8,994.6,snow
115,울릉도,2022-02-18,1.6,0.1,2.4,64,1000.9,snow
115,울릉도,2022-02-19,3.2,,2.5,62.4,991.6,clouds
115,울릉도,2022-02-20,-2,9.5,4.7,76.1,990.4,snow
115,울릉도,2022-02-21,-0.4,0.1,3.2,58.1,995.7,snow
115,울릉도,2022-02-22,-2.4,5.7,2.8,72.1,998,snow
115,울릉도,2022-02-23,-2.4,5.4,2.8,63.4,999.9,snow
115,울릉도,2022-02-24,1.2,0.1,2.7,52.1,997.6,snow
115,울릉도,2022-02-25,4.5,,3.5,53.4,995.1,clear
115,울릉도,2022-02-26,7.3,,6.7,60.3,987.4,clouds
115,울릉도,2022-02-27,5.5,1.2,5,58.8,989.7,rain
115,울릉도,2022-02-28,7.5,,3.3,57.1,992.4,clouds
115,울릉도,2022-03-01,7.8,1.6,3.2,74.9,985,rain
115,울릉도,2022-03-02,6.8,0.1,3.3,65.8,986,rain
115,울릉도,2022-03-03,4.7,,2.8,62.6,989.2,clouds
115,울릉도,2022-03-04,9.1,,4.6,73.8,984,clouds
115,울릉도,2022-03-05,6.1,0.1,3.9,41.6,981.1,rain
115,울릉도,2022-03-06,2.3,0.1,3.7,49.6,990.1,snow
115,울릉도,2022-03-07,4.3,,1.6,57.9,992.5,clouds
115,울릉도,2022-03-08,6.6,0.7,1.6,70.4,990.6,rain
115,울릉도,2022-03-09,6.5,,2,79.6,994.5,clear
115,울릉도,2022-03-10,10.1,,5.3,69.1,992.1,clouds
115,울릉도,2022-03-11,13.5,,2.3,33.8,989.2,clear
115,울릉도,2022-03-12,11,,2.8,69.6,990.2,clouds
115,울릉도,2022-03-13,10.5,28.9,4.8,94.9,985.1,rain
115,울릉도,2022-03-14,7.4,0.1,3.8,94.9,984.6,rain
115,울릉도,2022-03-15,7.1,,3.8,81.1,986.1,clouds
115,울릉도,2022-03-16,9.7,,3.8,77.5,988.5,clouds
115,울릉도,2022-03-17,4.6,,5.3,85.3,995.9,clouds
115,울릉도,2022-03-18,2.5,2.4,6.6,91.8,986.3,snow
115,울릉도,2022-03-19,2.1,0.9,4.9,85.8,982.7,snow
115,울릉도,2022-03-20,4.3,2,2.4,83,990.7,snow
115,울릉도,2022-03-21,5.2,0.2,2.3,75.4,996.2,rain
115,울릉도,2022-03-22,5.2,2.2,3.4,82.5,994.2,rain
115,울릉도,2022-03-23,5.5,0.7,2.5,79.9,989.5,rain
115,울릉도,2022-03-24,9.5,,4.1,67.8,991.5,clouds
115,울릉도,2022-03-25,11.7,,5.6,84.5,991.8,clouds
115,울릉도,2022-03-26,10,10.5,6.7,89.6,975.4,rain
115,울릉도,2022-03-27,9.5,,5.3,62.4,985.8,rain
115,울릉도,2022-03-28,6.5,,2.6,50.9,998.9,clear
115,울릉도,2022-03-29,9.3,,3.7,70.4,997.2,clear
115,울릉도,2022-03-30,11.4,0.1,5.2,66.1,993.4,rain
115,울릉도,2022-03-31,6.1,1,5.5,75.9,997.5,rain
115,울릉도,2022-04-01,5.9,,2.9,62.9,1002.1,clouds
115,울릉도,2022-04-02,7.4,,2,70.5,1000.2,clear
115,울릉도,2022-04-03,8.6,,2.1,75.9,1000.9,clear
115,울릉도,2022-04-04,10.1,,3.6,74.5,999.5,clear
115,울릉도,2022-04-05,13.6,,6,53.5,991.4,clouds
115,울릉도,2022-04-06,9.9,,3.4,67.1,993.3,clouds
115,울릉도,2022-04-07,11.9,1.2,4.3,74,988.2,rain
115,울릉도,2022-04-08,10.5,,4.7,72,991.8,clear
115,울릉도,2022-04-09,18.2,,7.6,44.1,986.3,clear
115,울릉도,2022-04-10,19.6,,5.8,48.5,988.2,clear
115,울릉도,2022-04-11,18.1,,7.1,70.1,986.2,clouds
115,울릉도,2022-04-12,16.3,,4.6,84.6,983.8,clouds
115,울릉도,2022-04-13,7.9,3.9,7.9,94.5,990.4,rain
115,울릉도,2022-04-14,7.7,0.2,6.2,88.1,993.2,rain
115,울릉도,2022-04-15,7.6,,6.4,66.8,990.8,clouds
115,울릉도,2022-04-16,10.2,,3.8,59,989.5,clear
115,울릉도,2022-04-17,14.3,,3,44.5,989.5,clear
115,울릉도,2022-04-18,14.8,,3,51.9,989.6,clouds
115,울릉도,2022-04-19,13.5,,2.4,78.4,990.2,clear
115,울릉도,2022-04-20,16.4,,3.8,53.8,987.8,clear
115,울릉도,2022-04-21,15.2,,5.6,64.4,985.4,clouds
115,울릉도,2022-04-22,16.5,,6.8,66.9,982.1,clouds
115,울릉도,2022-04-23,14.2,,4.6,64.5,986.9,clouds
115,울릉도,2022-04-24,16.9,,4.8,75.1,983.3,clouds
115,울릉도,2022-04-25,19.2,,2.3,62.8,985.1,clouds
115,울릉도,2022-04-26,16,17.8,3.6,94.6,975.9,rain
115,울릉도,2022-04-27,12.5,,5.4,62.3,988.9,clear
115,울릉도,2022-04-28,12.1,,2.5,76.4,993.1,clouds
115,울릉도,2022-04-29,8.3,16.4,5.6,84.8,990.5,rain
115,울릉도,2022-04-30,10.6,,2.9,77.3,990.4,clouds
115,울릉도,2022-05-01,12.6,2.4,3.2,57.4,984.7,rain
115,울릉도,2022-05-02,11.1,0.1,2.4,63.9,986.6,rain
115,울릉도,2022-05-03,14.1,,6.6,57.6,989.4,clear
115,울릉도,2022-05-04,19.6,,5.8,41.5,989.4,clear
115,울릉도,2022-05-05,18.2,,5,59.1,991.2,clear
115,울릉도,2022-05-06,19.1,,5.1,66.8,989.3,clear
115,울릉도,2022-05-07,15,,5.2,68.4,989.7,clouds
115,울릉도,2022-05-08,12.5,,1.6,57.6,994,clouds
115,울릉도,2022-05-09,14.1,,1.7,61.8,993.1,clouds
115,울릉도,2022-05-10,14.1,,1.3,68.6,992.4,clouds
115,울릉도,2022-05-11,16,,2.4,83.8,988.8,clouds
115,울릉도,2022-05-12,17.5,,1.9,92.8,986,clouds
115,울릉도,2022-05-13,14,0.9,1.4,96.4,982,rain
115,울릉도,2022-05-14,14.6,0.1,2.7,60.3,983.2,rain
115,울릉도,2022-05-15,14.6,,3.2,55.1,986,clouds
115,울릉도,2022-05-16,17.1,,4.2,50.5,984.3,clear
115,울릉도,2022-05-17,19.6,,3.3,47.6,987.2,clear
115,울릉도,2022-05-18,21.8,,5.6,43.5,989,clouds
115,울릉도,2022-05-19,21.5,,5.5,44.3,988.7,clouds
115,울릉도,2022-05-20,21.5,,3.9,37.5,985.9,clouds
115,울릉도,2022-05-21,20,,3.5,64.9,981.2,clear
115,울릉도,2022-05-22,20.4,0.1,3.5,56.9,980.1,rain
115,울릉도,2022-05-23,19.8,,2.5,52.8,986.6,clear
115,울릉도,2022-05-24,20.9,,4.9,62.5,987.2,clouds
115,울릉도,2022-05-25,21.4,,4.6,72.5,981.6,clouds
115,울릉도,2022-05-26,18.8,1.7,3.3,74.6,976.8,rain
115,울릉도,2022-05-27,18.9,,4.3,56.8,973.4,clouds
115,울릉도,2022-05-28,23.6,,5.6,43.3,977.5,clear
115,울릉도,2022-05-29,24.3,,2.9,36.3,979.4,clear
115,울릉도,2022-05-30,20.3,,2.1,70.4,976,clouds
115,울릉도,2022-05-31,18.9,,5.1,61.5,980.1,clear
115,울릉도,2022-06-01,22.4,,3.9,47.9,979.8,clouds
115,울릉도,2022-06-02,22.6,,2.3,44.1,980,clouds
115,울릉도,2022-06-03,18.2,,3.7,87.9,986,clouds
115,울릉도,2022-06-04,17.1,,1.9,84.3,988,clouds
115,울릉도,2022-06-05,17.1,0.3,2.1,92.8,981.3,rain
115,울릉도,2022-06-06,14.6,65.2,6.3,100,975.2,rain
115,울릉도,2022-06-07,13.5,1.8,4.2,88,982.6,rain
115,울릉도,2022-06-08,14.6,0.1,2.8,86.6,987,rain
115,울릉도,2022-06-09,17.1,,1.9,90.1,988.9,clouds
115,울릉도,2022-06-10,19.4,,1.9,87.8,989.1,clouds
115,울릉도,2022-06-11,17.8,,3.4,93.6,988.5,clouds
115,울릉도,2022-06-12,17.3,,2.9,88.4,988.9,clouds
115,울릉도,2022-06-13,17.2,,3.1,87.6,987.7,clouds
115,울릉도,2022-06-14,16.4,15.4,4.8,91.8,985.3,rain
115,울릉도,2022-06-15,18.7,26.9,2.5,91.8,980.4,rain
115,울릉도,2022-06-16,19.5,,1.7,89.9,981,clouds
115,울릉도,2022-06-17,23,,3.2,64,981.4,clear
115,울릉도,2022-06-18,23.9,,2.1,75.6,980.6,clouds
115,울릉도,2022-06-19,24.2,,1.4,75.8,981,clouds
115,울릉도,2022-06-20,23.1,,2.3,87.3,979.2,clear
115,울릉도,2022-06-21,23.7,,2,84.5,979.8,clouds
115,울릉도,2022-06-22,23.7,,3.2,91.5,981.5,clouds
115,울릉도,2022-06-23,22.6,0.1,6.4,97.4,976.2,rain
115,울릉도,2022-06-24,23.5,17.3,9.3,86.3,970.2,rain
115,울릉도,2022-06-25,24.5,,8.8,76.6,978.3,clouds
115,울릉도,2022-06-26,25,,9.6,81.3,982.8,clouds
115,울릉도,2022-06-27,23.9,37.3,7.2,93,984.6,rain
115,울릉도,2022-06-28,22.4,0.1,10.2,99.8,979.5,rain
115,울릉도,2022-06-29,23.1,,10,97.1,980.2,clouds
115,울릉도,2022-06-30,25.9,,6.8,82.4,985.2,clouds
115,울릉도,2022-07-01,27.2,,3,73.8,989.2,clear
115,울릉도,2022-07-02,26.6,,3.5,70.8,988.2,clear
115,울릉도,2022-07-03,27.3,,4.2,72.3,983.8,clouds
115,울릉도,2022-07-04,27.3,,4.3,78.9,981.2,clouds
115,울릉도,2022-07-05,25.6,,2.2,87.1,981.2,clouds
115,울릉도,2022-07-06,25.4,,1.3,90.4,984.5,clouds
115,울릉도,2022-07-07,24.3,,2.2,98,983.7,clouds
115,울릉도,2022-07-08,26.6,2.9,4.2,89.8,977,rain
115,울릉도,2022-07-09,25.8,,2.1,88.5,976,clouds
115,울릉도,2022-07-10,24.8,0.1,3.2,92.4,981.2,rain
115,울릉도,2022-07-11,23.5,37,2.7,98,981,rain
115,울릉도,2022-07-12,22.1,0.1,4.5,88.1,983.5,rain
115,울릉도,2022-07-13,22.2,6.2,1.7,93.3,981.1,rain
115,울릉도,2022-07-14,23.6,14.8,2.5,89.3,973.5,rain
115,울릉도,2022-07-15,22.8,0.1,1.9,92.5,974.1,rain
115,울릉도,2022-07-16,23.7,,1.3,93.4,974.2,clouds
115,울릉도,2022-07-17,24.4,,1.8,93.3,975.1,clouds
115,울릉도,2022-07-18,23.8,0.1,3.4,90.4,975.4,rain
115,울릉도,2022-07-19,24.3,0.1,3.1,89.9,976.3,rain
115,울릉도,2022-07-20,25.4,,1.5,93.9,980.6,clouds
115,울릉도,2022-07-21,22.3,54.7,2.6,96.5,976.8,rain
115,울릉도,2022-07-22,21.4,26.2,4.3,93.5,978.7,rain
115,울릉도,2022-07-23,21.8,0.1,1.3,89.1,981.9,rain
115,울릉도,2022-07-24,22.1,10.9,1.4,99,979.7,rain
115,울릉도,2022-07-25,24.3,,1.1,93.6,983.1,clouds
115,울릉도,2022-07-26,23.7,,2.1,91.1,985.8,clouds
115,울릉도,2022-07-27,24,,2.3,91.4,987,clouds
115,울릉도,2022-07-28,24.1,0.1,2.2,96.5,988.5,rain
115,울릉도,2022-07-29,25.8,0.1,2,93.3,989.2,rain
115,울릉도,2022-07-30,27.2,0.1,1.8,84.6,987,rain
115,울릉도,2022-07-31,27.3,0.1,2.2,87.3,985.1,rain
115,울릉도,2022-08-01,27.6,,3.8,87.9,984.4,clouds
115,울릉도,2022-08-02,26,0.5,6.6,95.6,984.2,rain
115,울릉도,2022-08-03,28.3,,5.5,77.1,983.3,clouds
115,울릉도,2022-08-04,28,0.1,1.5,78.9,982.8,rain
115,울릉도,2022-08-05,28.1,,2.5,81.1,980.4,clouds
115,울릉도,2022-08-06,29.3,,2.4,74.5,980,clouds
115,울릉도,2022-08-07,29,,3.5,84.6,981.1,clouds
115,울릉도,2022-08-08,27.6,0.1,8.3,80.6,980.3,rain
115,울릉도,2022-08-09,26.8,0.1,7,82.6,980.8,rain
115,울릉도,2022-08-10,24.6,9.7,5.6,94.3,980.7,rain
115,울릉도,2022-08-11,23.8,50,6.3,97.8,978.6,rain
115,울릉도,2022-08-12,26.3,,2.3,82.5,980.4,clouds
115,울릉도,2022-08-13,25.1,1.8,2.7,93.8,980.8,rain
115,울릉도,2022-08-14,26.3,0.1,1.8,85.6,981,rain
115,울릉도,2022-08-15,26.1,1.6,7.8,86.5,975.7,rain
115,울릉도,2022-08-16,24.5,15.5,6.3,91.9,977.9,rain
115,울릉도,2022-08-17,23.2,3.4,2.1,95.6,982,rain
115,울릉도,2022-08-18,24,,1.4,84.3,981.9,clouds
115,울릉도,2022-08-19,24.9,6.3,6.3,86.8,977.2,rain
115,울릉도,2022-08-20,24.3,0.1,5.1,90.6,977.1,rain
115,울릉도,2022-08-21,23.6,,3.1,72.9,981.5,clear
115,울릉도,2022-08-22,24.6,,2.3,74,979.2,clouds
115,울릉도,2022-08-23,24.9,,2.8,77.9,980.7,clouds
115,울릉도,2022-08-24,22.2,,3.7,73.6,984.2,clouds
115,울릉도,2022-08-25,23.5,0.1,2.2,83.1,981.3,rain
115,울릉도,2022-08-26,23.9,,2.1,73.9,980.3,clouds
115,울릉도,2022-08-27,21.6,,5,64.5,982.6,clouds
115,울릉도,2022-08-28,20.8,,2.7,60.3,989.9,clouds
115,울릉도,2022-08-29,21.7,0.1,1,74.6,990.8,rain
115,울릉도,2022-08-30,20.1,38.3,3.4,95.3,986.4,rain
115,울릉도,2022-08-31,19.7,40.8,5.8,99.9,981.7,rain
115,울릉도,2022-09-01,20.7,,4.1,90,988.3,clouds
115,울릉도,2022-09-02,21.3,,4.4,84.9,992.4,clouds
115,울릉도,2022-09-03,21.5,,4.2,83.8,991.4,clouds
115,울릉도,2022-09-04,23.1,0.1,2.5,97,987,rain
115,울릉도,2022-09-05,25.1,0.1,2.9,89,982.3,rain
115,울릉도,2022-09-06,21.7,32.6,5,88.3,974.5,rain
115,울릉도,2022-09-07,22.2,,1.8,50.1,990,clear
115,울릉도,2022-09-08,21.2,,3.2,75,992.6,clouds
115,울릉도,2022-09-09,20.8,,3.7,81.9,993,clouds
115,울릉도,2022-09-10,21.3,,3.8,79.5,992.5,clouds
115,울릉도,2022-09-11,21.7,,3.2,90.1,990.2,clouds
115,울릉도,2022-09-12,21.5,0.1,1.6,90.9,989.3,rain
115,울릉도,2022-09-13,21,,4.7,83.8,991.5,clouds
115,울릉도,2022-09-14,22.1,,6.3,86.4,992.9,clouds
115,울릉도,2022-09-15,20.7,,3.5,82.6,989.3,clouds
115,울릉도,2022-09-16,22.1,,1.7,93.9,985.9,clouds
115,울릉도,2022-09-17,24.8,0.1,1.7,80.1,983.7,rain
115,울릉도,2022-09-18,23.9,0.1,4.9,95.6,979.4,rain
115,울릉도,2022-09-19,18.7,40.8,13.5,89.1,972.2,rain
115,울릉도,2022-09-20,14.9,,6.7,63.6,987.6,clouds
115,울릉도,2022-09-21,15.9,,3,67.9,992.9,clear
115,울릉도,2022-09-22,18.9,,1.8,76.9,990.4,clouds
115,울릉도,2022-09-23,20.7,,2.7,74.9,984.7,clouds
115,울릉도,2022-09-24,18.3,,2.5,58.4,988.5,clear
115,울릉도,2022-09-25,18.2,,1.2,75.9,990.8,clouds
115,울릉도,2022-09-26,19,,1.4,83.5,990.9,clouds
115,울릉도,2022-09-27,19.4,,3.4,91.1,990.4,clouds
115,울릉도,2022-09-28,19.5,,2.7,89.1,987.7,clouds
115,울릉도,2022-09-29,21,,2.9,84.1,988.1,clear
115,울릉도,2022-09-30,21.2,,3,75.9,989.6,clear
115,울릉도,2022-10-01,22.2,,3.4,81.6,991.2,clouds
115,울릉도,2022-10-02,21,0.1,1.9,94.5,993.2,rain
115,울릉도,2022-10-03,22.1,10.2,5.9,99.6,987.4,rain
115,울릉도,2022-10-04,16.5,43.7,9.2,89.8,986,rain
115,울릉도,2022-10-05,12.9,,5.4,74.4,994.8,clouds
115,울릉도,2022-10-06,13.4,20.6,4.4,93.3,993.5,rain
115,울릉도,2022-10-07,13,81.8,7.4,87.8,990.9,rain
115,울릉도,2022-10-08,13,,4.1,63.5,999.2,clear
115,울릉도,2022-10-09,15.5,24,1.8,78.9,991.5,rain
115,울릉도,2022-10-10,14,0.8,6.4,61.5,981,rain
115,울릉도,2022-10-11,13.8,0.1,2.4,67.6,991.4,rain
115,울릉도,2022-10-12,15.4,,2.3,64.5,1000.5,clear
115,울릉도,2022-10-13,15.9,,2.5,72.4,999.1,clear
115,울릉도,2022-10-14,16.3,,2.1,76.4,994.5,clouds
115,울릉도,2022-10-15,16.9,,2.1,78.1,993.7,clouds
115,울릉도,2022-10-16,18.3,,1.6,87.3,991.1,clouds
115,울릉도,2022-10-17,14.9,3.4,5.3,78,988,rain
115,울릉도,2022-10-18,11,4.6,3.5,77.4,993.1,rain
115,울릉도,2022-10-19,12.6,1.2,2.3,67.6,996.8,rain
115,울릉도,2022-10-20,15.1,,2.9,61,999.1,clear
115,울릉도,2022-10-21,18.1,,5.3,60.6,994.4,clouds
115,울릉도,2022-10-22,17.2,,1.8,60,991.2,clear
115,울릉도,2022-10-23,12.3,21,5.2,81.3,990.4,rain
115,울릉도,2022-10-24,9.6,6.5,5.7,74.8,991.9,rain
115,울릉도,2022-10-25,11.1,0.7,5.7,66.9,1000.2,rain
115,울릉도,2022-10-26,13.9,,2.2,73.1,1000.7,clouds
115,울릉도,2022-10-27,15.8,12.2,2.5,72.6,997.5,rain
115,울릉도,2022-10-28,11.5,34.3,5.8,82.9,1000.3,rain
115,울릉도,2022-10-29,11.8,,5,76.9,1000.7,clouds
115,울릉도,2022-10-30,11.7,,4.8,69.9,999.9,clear
115,울릉도,2022-10-31,13,,2.3,69.4,998.4,clouds
115,울릉도,2022-11-01,14.9,,1.7,68.1,993.7,clouds
115,울릉도,2022-11-02,16,,2.4,71.8,992.3,clouds
115,울릉도,2022-11-03,14.5,0.1,2.6,69.4,988.9,rain
115,울릉도,2022-11-04,10.8,16.4,3.8,79.6,991,rain
115,울릉도,2022-11-05,9.8,7.7,2.7,71,994.9,rain
115,울릉도,2022-11-06,11.4,,1.4,52.6,996.4,clouds
115,울릉도,2022-11-07,13.1,,2.4,58.4,994.8,clouds
115,울릉도,2022-11-08,13.2,,2.6,63,996.5,clear
115,울릉도,2022-11-09,15,,4,65.8,996.3,clouds
115,울릉도,2022-11-10,15.3,,1.7,67.6,996.8,clouds
115,울릉도,2022-11-11,14.8,,2.4,75.6,1000.4,clouds
115,울릉도,2022-11-12,16.9,,3.7,92.3,991.2,clouds
115,울릉도,2022-11-13,11.5,10.5,8.2,88.9,986.4,rain
115,울릉도,2022-11-14,9.7,2.4,3,75.6,990.1,rain
115,울릉도,2022-11-15,11.2,,2.7,55.4,987.1,clouds
115,울릉도,2022-11-16,11.3,0.3,2.5,54.1,991,rain
115,울릉도,2022-11-17,12.1,,1.6,52,996.2,clouds
115,울릉도,2022-11-18,13.4,,3.1,58.3,998.9,clear
115,울릉도,2022-11-19,12.7,,2.7,64.8,997.8,clouds
115,울릉도,2022-11-20,13,,2.7,70,993.5,clouds
115,울릉도,2022-11-21,14.6,,2.4,71.5,993.1,clouds
115,울릉도,2022-11-22,11.7,1.7,3.9,82.4,995.2,rain
115,울릉도,2022-11-23,11.7,5.1,4,83.5,988.8,rain
115,울릉도,2022-11-24,10.8,1,3.5,83.8,992.7,rain
115,울릉도,2022-11-25,14.8,,6.7,66.5,988.7,clouds
115,울릉도,2022-11-26,12.4,,4.6,57,987.4,clear
115,울릉도,2022-11-27,10.7,,2.1,66.9,994,clouds
115,울릉도,2022-11-28,15.8,0.1,2.6,88.8,990.3,rain
115,울릉도,2022-11-29,13.8,24.3,5.1,74.6,983.7,rain
115,울릉도,2022-11-30,2.6,1.5,4.8,63.5,995.3,rain
115,울릉도,2022-12-01,1.4,0.7,3.6,60.9,997.8,snow
115,울릉도,2022-12-02,1.4,0.5,2.7,66.5,999.2,snow
115,울릉도,2022-12-03,6.8,,3.9,59.8,995.1,clouds
115,울릉도,2022-12-04,4.4,0.7,3.4,60.3,997.4,snow
115,울릉도,2022-12-05,4.5,0.2,2.6,59.9,996.1,rain
115,울릉도,2022-12-06,4,0.1,3.6,51.8,991.8,snow
115,울릉도,2022-12-07,6.6,0.1,4,51.5,992,rain
115,울릉도,2022-12-08,7.4,,2,53.9,995.8,clouds
115,울릉도,2022-12-09,8.6,,2.3,52.9,993.5,clouds
115,울릉도,2022-12-10,8.3,,2.6,63.3,990.8,clouds
115,울릉도,2022-12-11,5.1,8.5,5.8,78.6,993.5,rain
115,울릉도,2022-12-12,6.4,20.5,3.1,79.4,990.9,rain
115,울릉도,2022-12-13,4.6,4.7,5.2,62.6,985.4,snow
115,울릉도,2022-12-14,-2.5,5.7,3.7,71.3,991.8,snow
115,울릉도,2022-12-15,1.5,0.1,4.6,67.9,993.1,snow
115,울릉도,2022-12-16,1.5,1.3,2.3,66.5,997.1,snow
115,울릉도,2022-12-17,-0.2,1.4,3.5,60.1,991.4,snow
115,울릉도,2022-12-18,-3.6,2.5,4.4,63.8,987.7,snow
115,울릉도,2022-12-19,-1.5,0.5,3.4,61.5,992.9,snow
115,울릉도,2022-12-20,2.1,0.1,2,58.3,996.1,snow
115,울릉도,2022-12-21,5.6,4.9,4.3,76,983.1,rain
115,울릉도,2022-12-22,-0.1,0.7,5.5,55.3,973.1,snow
115,울릉도,2022-12-23,-3,25.1,6.6,93.3,973,snow
115,울릉도,2022-12-24,2.3,11.3,5.6,77.6,984.9,snow
115,울릉도,2022-12-25,2,8.8,4.9,88.1,989.7,snow
115,울릉도,2022-12-26,0.7,9.8,4.3,97.6,995,snow
115,울릉도,2022-12-27,3.3,1.1,2.5,80.4,997.5,rain
115,울릉도,2022-12-28,3.3,,3.7,57.1,996.5,clouds
115,울릉도,2022-12-29,1.5,0.1,3.3,58.8,999.4,snow
115,울릉도,2022-12-30,2.7,0.1,2.2,59.5,1000,snow
115,울릉도,2022-12-31,3.3,,2.4,60.4,997.7,clouds
130,울진,2022-01-01,-0.5,,2.9,29.8,1021.8,clear
130,울진,2022-01-02,3,,3.1,37.3,1017.2,clouds
130,울진,2022-01-03,2.1,,3.1,27.4,1016.3,clear
130,울진,2022-01-04,0.4,,2.5,58.5,1018.9,clear
130,울진,2022-01-05,0.8,3,2.3,80.3,1021.1,rain
130,울진,2022-01-06,1.8,,3.1,66,1019.7,clear
130,울진,2022-01-07,2.3,,2.5,42.9,1020.9,clear
130,울진,2022-01-08,3.9,,3,37.1,1014.8,clear
130,울진,2022-01-09,4,,2.4,61.1,1014.9,clouds
130,울진,2022-01-10,3.8,,2.1,58.9,1012.3,clouds
130,울진,2022-01-11,-0.2,,3.4,35.9,1007.7,clear
130,울진,2022-01-12,-2.7,,3.4,28.8,1011.6,clouds
130,울진,2022-01-13,-3,,3.5,28.8,1010,clear
130,울진,2022-01-14,-2,,2.8,29.8,1016.2,clear
130,울진,2022-01-15,2.1,,2.2,38.1,1014.5,clouds
130,울진,2022-01-16,3.4,,3.4,34.8,1014,clouds
130,울진,2022-01-17,-0.8,,3.3,30.1,1016.9,clouds
130,울진,2022-01-18,-3.3,,2,40.3,1019.7,clear
130,울진,2022-01-19,-0.5,,2.8,44,1015.8,clouds
130,울진,2022-01-20,-0.8,2.3,4.9,66.8,1020.6,snow
130,울진,2022-01-21,-0.6,,2.3,64.8,1024,clouds
130,울진,2022-01-22,3.4,,2.6,60.9,1019.6,clouds
130,울진,2022-01-23,3.9,5.1,3.4,77.5,1016.1,snow
130,울진,2022-01-24,3.5,4.2,3.5,66.3,1017.7,snow
130,울진,2022-01-25,3.8,,2.4,69.6,1014.5,clouds
130,울진,2022-01-26,4.1,,2.5,51.5,1015.6,clear
130,울진,2022-01-27,2,,2.4,60.9,1016,clouds
130,울진,2022-01-28,0.8,,2.2,46.4,1014.7,clouds
130,울진,2022-01-29,0.7,,2.5,36.5,1012,clouds
130,울진,2022-01-30,-0.7,,2.4,46,1013.4,clear
130,울진,2022-01-31,0.8,,2.7,35.4,1015.5,clear
